07/30/2025-13:41:00.310476  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.102:2040 -> 203.69.81.58:80
07/30/2025-13:41:51.924454  [**] [1:2027758:5] ET DNS Query for .cc TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 192.168.10.102:64632 -> 210.69.1.1:53
07/30/2025-13:41:51.924454  [**] [1:2027758:5] ET DNS Query for .cc TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 192.168.10.102:51898 -> 210.69.1.1:53
07/30/2025-13:41:58.271725  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.173:11393 -> 203.69.81.58:80
07/30/2025-13:42:30.230395  [**] [1:2014819:5] ET INFO Packed Executable Download [**] [Classification: Misc activity] [Priority: 3] {TCP} 109.61.38.38:80 -> 192.168.253.224:64583
07/30/2025-13:42:30.595052  [**] [1:2027758:5] ET DNS Query for .cc TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 192.168.10.102:58604 -> 210.69.1.1:53
07/30/2025-13:42:30.595052  [**] [1:2027758:5] ET DNS Query for .cc TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 192.168.10.102:58988 -> 210.69.1.1:53
07/30/2025-13:42:46.702734  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.29:61181 -> 203.69.81.58:80
07/30/2025-13:42:49.416619  [**] [1:2027758:5] ET DNS Query for .cc TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 192.168.253.213:64929 -> 210.69.1.1:53
07/30/2025-13:42:49.416425  [**] [1:2027758:5] ET DNS Query for .cc TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 192.168.253.213:65399 -> 210.69.1.1:53
07/30/2025-13:43:56.048150  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.253.252:25 -> 94.51.104.214:55390
07/30/2025-13:44:16.411131  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.253.252:25 -> 162.216.150.230:61064
07/30/2025-13:46:04.333491  [**] [1:2260000:1] SURICATA Applayer Mismatch protocol both directions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 93.174.93.12:60000 -> 192.168.253.234:80
07/30/2025-13:46:39.246214  [**] [1:2402000:7460] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 193.163.125.227:45838 -> 192.168.253.35:80
07/30/2025-13:46:59.527383  [**] [1:2400026:4432] ET DROP Spamhaus DROP Listed Traffic Inbound group 27 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 141.98.11.57:34437 -> 192.168.253.35:80
07/30/2025-13:48:09.914812  [**] [1:2012647:7] ET INFO Dropbox.com Offsite File Backup in Use [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 162.125.6.20:443 -> 192.168.10.163:2356
07/30/2025-13:48:35.723257  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.253.252:25 -> 27.255.75.33:45426
07/30/2025-13:50:21.087788  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.84:60162 -> 203.69.81.51:80
07/30/2025-13:53:51.239719  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.6:61920 -> 203.69.81.58:80
07/30/2025-13:53:52.754309  [**] [1:2014819:5] ET INFO Packed Executable Download [**] [Classification: Misc activity] [Priority: 3] {TCP} 109.61.38.38:80 -> 192.168.253.213:50085
