------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:05:52 (uptime: 0d, 00h 00m 13s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1286972
decoder.bytes                                 | Total                     | 1005795607
decoder.ipv4                                  | Total                     | 1316768
decoder.ethernet                              | Total                     | 1286972
decoder.tcp                                   | Total                     | 666826
tcp.syn                                       | Total                     | 3869
tcp.synack                                    | Total                     | 3235
tcp.rst                                       | Total                     | 2879
decoder.udp                                   | Total                     | 590312
decoder.avg_pkt_size                          | Total                     | 781
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 8641
flow.tcp                                      | Total                     | 4145
flow.udp                                      | Total                     | 4496
flow.tcp_reuse                                | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 98
flow.wrk.spare_sync                           | Total                     | 73
flow.wrk.spare_sync_incomplete                | Total                     | 13
defrag.ipv4.fragments                         | Total                     | 59630
defrag.ipv4.reassembled                       | Total                     | 29796
flow.wrk.flows_evicted_needs_work             | Total                     | 2997
flow.wrk.flows_evicted_pkt_inject             | Total                     | 4058
flow.wrk.flows_evicted                        | Total                     | 1340
flow.wrk.flows_injected                       | Total                     | 2961
flow.wrk.flows_injected_max                   | Total                     | 10
tcp.sessions                                  | Total                     | 3400
tcp.ssn_from_cache                            | Total                     | 1800
tcp.ssn_from_pool                             | Total                     | 1600
tcp.ack_unseen_data                           | Total                     | 1067
tcp.segment_from_cache                        | Total                     | 93586
tcp.segment_from_pool                         | Total                     | 5551
tcp.stream_depth_reached                      | Total                     | 26
tcp.reassembly_gap                            | Total                     | 74
tcp.overlap                                   | Total                     | 327
detect.alert                                  | Total                     | 11
detect.alerts_suppressed                      | Total                     | 336
app_layer.flow.http                           | Total                     | 241
app_layer.tx.http                             | Total                     | 384
app_layer.flow.tls                            | Total                     | 2688
app_layer.error.tls.gap                       | Total                     | 58
app_layer.flow.dns_tcp                        | Total                     | 184
app_layer.tx.dns_tcp                          | Total                     | 368
app_layer.flow.ntp                            | Total                     | 64
app_layer.tx.ntp                              | Total                     | 102
app_layer.flow.quic                           | Total                     | 827
app_layer.tx.quic                             | Total                     | 6694
app_layer.flow.snmp                           | Total                     | 43
app_layer.tx.snmp                             | Total                     | 43
app_layer.flow.failed_tcp                     | Total                     | 18
app_layer.flow.dns_udp                        | Total                     | 3472
app_layer.tx.dns_udp                          | Total                     | 6001
app_layer.flow.failed_udp                     | Total                     | 90
flow.end.state.new                            | Total                     | 2534
flow.end.state.established                    | Total                     | 3244
flow.end.state.closed                         | Total                     | 2863
flow.end.tcp_state.syn_sent                   | Total                     | 190
flow.end.tcp_state.syn_recv                   | Total                     | 3
flow.end.tcp_state.established                | Total                     | 239
flow.end.tcp_state.fin_wait1                  | Total                     | 1
flow.end.tcp_state.fin_wait2                  | Total                     | 70
flow.end.tcp_state.time_wait                  | Total                     | 510
flow.end.tcp_state.last_ack                   | Total                     | 34
flow.end.tcp_state.close_wait                 | Total                     | 34
flow.end.tcp_state.closed                     | Total                     | 2319
flow.end.tcp_liberal                          | Total                     | 60
flow.mgr.full_hash_pass                       | Total                     | 30
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 10426
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 15662
flow.mgr.flows_notimeout                      | Total                     | 9304
flow.mgr.flows_timeout                        | Total                     | 6358
flow.mgr.flows_evicted                        | Total                     | 6358
flow.mgr.flows_evicted_needs_work             | Total                     | 2202
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 5441
flow.recycler.queue_max                       | Total                     | 710
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
flow.memuse                                   | Total                     | 7744840
