07/30/2025-15:48:26.210667  [**] [1:2036220:6] ET INFO Android Device Connectivity Check [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.243:53842 -> 142.250.196.195:80
07/30/2025-15:48:26.379432  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:48:27.441992  [**] [1:2016149:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Request) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 74.125.247.128:3478
07/30/2025-15:48:27.452980  [**] [1:2016150:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Response) [**] [Classification: Misc activity] [Priority: 3] {UDP} 74.125.247.128:3478 -> 192.168.10.248:62471
07/30/2025-15:48:28.878976  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:48:31.380216  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:48:34.160251  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:48:36.660900  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:48:37.457928  [**] [1:2016149:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Request) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 74.125.247.128:3478
07/30/2025-15:48:37.468582  [**] [1:2016150:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Response) [**] [Classification: Misc activity] [Priority: 3] {UDP} 74.125.247.128:3478 -> 192.168.10.248:62471
07/30/2025-15:48:39.444597  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:48:42.207331  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:48:44.942617  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:48:46.978587  [**] [1:2036220:6] ET INFO Android Device Connectivity Check [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.233:39912 -> 142.250.196.195:80
07/30/2025-15:48:47.489124  [**] [1:2016149:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Request) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 74.125.247.128:3478
07/30/2025-15:48:47.499885  [**] [1:2016150:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Response) [**] [Classification: Misc activity] [Priority: 3] {UDP} 74.125.247.128:3478 -> 192.168.10.248:62471
07/30/2025-15:48:47.442123  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:48:50.160991  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:48:52.910973  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:48:55.661456  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:48:57.505885  [**] [1:2016149:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Request) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 74.125.247.128:3478
07/30/2025-15:48:57.516102  [**] [1:2016150:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Response) [**] [Classification: Misc activity] [Priority: 3] {UDP} 74.125.247.128:3478 -> 192.168.10.248:62471
07/30/2025-15:48:58.162029  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:49:00.859773  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.6:62710 -> 203.69.81.51:80
07/30/2025-15:49:00.879786  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:49:02.938491  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.6:62715 -> 203.69.81.51:80
