07/30/2025-11:00:54.599311  [**] [1:2062715:1] ET INFO Observed UA-CPU Header [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.104:5746 -> 203.69.138.222:80
07/30/2025-11:00:57.147396  [**] [1:2400012:4432] ET DROP Spamhaus DROP Listed Traffic Inbound group 13 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 87.121.84.132:36158 -> 192.168.253.234:80
07/30/2025-11:00:57.147396  [**] [1:2402000:7460] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 87.121.84.132:36158 -> 192.168.253.234:80
07/30/2025-11:01:28.303008  [**] [1:2402000:7460] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 185.242.226.159:52622 -> 192.168.253.252:443
07/30/2025-11:01:33.182512  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.253.252:25 -> 192.168.99.253:5364
07/30/2025-11:01:33.182611  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 163.29.42.49:25 -> 192.168.10.30:2125
07/30/2025-11:01:40.674620  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 210.241.100.203:25 -> 192.168.253.252:36815
07/30/2025-11:03:00.158714  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.94:2250 -> 203.69.81.58:80
07/30/2025-11:03:00.185050  [**] [1:2012647:7] ET INFO Dropbox.com Offsite File Backup in Use [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 162.125.80.13:443 -> 192.168.10.46:50417
07/30/2025-11:03:26.195344  [**] [1:2400046:4432] ET DROP Spamhaus DROP Listed Traffic Inbound group 47 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 198.55.98.76:42046 -> 192.168.253.234:80
07/30/2025-11:03:26.788616  [**] [1:2031502:3] ET INFO Request to Hidden Environment File - Inbound [**] [Classification: Misc activity] [Priority: 3] {TCP} 198.55.98.76:42046 -> 192.168.253.234:80
07/30/2025-11:07:42.820312  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.91:61093 -> 203.69.81.58:80
07/30/2025-11:08:22.660626  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.173:11229 -> 203.69.81.51:80
07/30/2025-11:08:26.713665  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.90:6381 -> 203.69.81.58:80
07/30/2025-11:08:34.473488  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.64:5263 -> 203.69.81.51:80
07/30/2025-11:08:34.765734  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.64:5264 -> 203.69.81.51:80
07/30/2025-11:09:14.138016  [**] [1:2036220:6] ET INFO Android Device Connectivity Check [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.233:39876 -> 142.250.196.195:80
07/30/2025-11:09:20.891906  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.92:51538 -> 203.69.81.58:80
07/30/2025-11:09:33.214704  [**] [1:2047702:1] ET INFO External IP Lookup Domain (ipify .org) in DNS Lookup [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.253.213:63101 -> 210.69.1.1:53
07/30/2025-11:09:33.214704  [**] [1:2047702:1] ET INFO External IP Lookup Domain (ipify .org) in DNS Lookup [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.253.213:64202 -> 210.69.1.1:53
07/30/2025-11:09:33.506858  [**] [1:2047703:1] ET INFO External IP Address Lookup Domain (ipify .org) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.61:54076 -> 104.26.13.205:443
07/30/2025-11:11:57.458125  [**] [1:2023753:4] ET SCAN MS Terminal Server Traffic on Non-standard Port [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 185.247.137.6:35271 -> 192.168.253.252:888
07/30/2025-11:12:22.763204  [**] [1:2032987:1] ET INFO HTTP Request to a *.tw domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.10.64:5530 -> 60.250.3.135:80
07/30/2025-11:12:22.544219  [**] [1:2032987:1] ET INFO HTTP Request to a *.tw domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.10.64:5529 -> 60.250.3.135:80
07/30/2025-11:12:49.606479  [**] [1:2023753:4] ET SCAN MS Terminal Server Traffic on Non-standard Port [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 185.247.137.6:35271 -> 192.168.253.252:888
