07/30/2025-12:30:55.992016  [**] [1:2049796:5] ET INFO Google DNS Over HTTPS Certificate Inbound [**] [Classification: Misc activity] [Priority: 3] {TCP} 8.8.4.4:853 -> 192.168.10.243:35038
07/30/2025-12:31:17.189154  [**] [1:2014819:5] ET INFO Packed Executable Download [**] [Classification: Misc activity] [Priority: 3] {TCP} 109.61.38.38:80 -> 192.168.10.170:3513
07/30/2025-12:36:13.180724  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.253.252:25 -> 59.9.204.205:51420
07/30/2025-12:36:14.281990  [**] [1:2036220:6] ET INFO Android Device Connectivity Check [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.99.252:38692 -> 142.250.198.67:80
07/30/2025-12:36:23.699527  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.253.252:25 -> 175.210.84.220:42222
07/30/2025-12:36:52.056566  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.253.252:25 -> 200.223.253.182:46241
07/30/2025-12:37:11.117599  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.253.252:25 -> 183.82.247.50:58066
07/30/2025-12:37:46.633519  [**] [1:2012647:7] ET INFO Dropbox.com Offsite File Backup in Use [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 162.125.1.20:443 -> 192.168.10.182:3043
07/30/2025-12:40:02.800044  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.253.252:25 -> 58.115.15.2:33453
07/30/2025-12:40:21.356055  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.253.252:25 -> 31.169.124.167:60378
07/30/2025-12:40:29.771999  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.253.252:25 -> 213.55.85.202:2056
07/30/2025-12:40:49.804549  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.253.252:25 -> 92.45.113.237:33900
07/30/2025-12:46:21.466874  [**] [1:2403386:102368] ET CINS Active Threat Intelligence Poor Reputation IP group 87 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 52.180.157.88:55077 -> 192.168.253.35:443
07/30/2025-12:48:34.211808  [**] [1:2400045:4432] ET DROP Spamhaus DROP Listed Traffic Inbound group 46 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 196.251.114.43:37066 -> 192.168.253.234:80
07/30/2025-12:49:41.327083  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.253.252:25 -> 152.52.236.2:56784
07/30/2025-12:49:59.268718  [**] [1:2400054:4432] ET DROP Spamhaus DROP Listed Traffic Inbound group 55 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 204.76.203.212:40205 -> 192.168.253.35:80
07/30/2025-12:50:17.900599  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.253.252:25 -> 121.164.135.251:50410
07/30/2025-12:50:29.481753  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.253.252:25 -> 220.77.182.171:53461
07/30/2025-12:50:36.187152  [**] [1:2012647:7] ET INFO Dropbox.com Offsite File Backup in Use [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 162.125.8.20:443 -> 192.168.10.163:1788
07/30/2025-12:51:05.933659  [**] [1:2400015:4432] ET DROP Spamhaus DROP Listed Traffic Inbound group 16 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 91.224.92.17:42922 -> 192.168.253.35:80
07/30/2025-12:52:28.040425  [**] [1:2400045:4432] ET DROP Spamhaus DROP Listed Traffic Inbound group 46 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 196.251.70.54:35775 -> 192.168.253.234:80
