07/30/2025-15:00:10.915542  [**] [1:2027757:5] ET DNS Query for .to TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 192.168.253.213:65398 -> 210.69.1.1:53
07/30/2025-15:00:54.436484  [**] [1:2038967:1] ET INFO SSH-2.0-Go version string Observed in Network Traffic [**] [Classification: Misc activity] [Priority: 3] {TCP} 3.130.96.91:60940 -> 192.168.253.234:80
07/30/2025-15:00:54.635916  [**] [1:2260000:1] SURICATA Applayer Mismatch protocol both directions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 3.130.96.91:60940 -> 192.168.253.234:80
07/30/2025-15:01:01.600212  [**] [1:2260001:1] SURICATA Applayer Wrong direction first Data [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.253.218:63320 -> 203.65.99.225:7660
07/30/2025-15:02:03.389335  [**] [1:2062715:1] ET INFO Observed UA-CPU Header [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.182:3330 -> 203.69.141.18:80
07/30/2025-15:02:09.687921  [**] [1:2032987:1] ET INFO HTTP Request to a *.tw domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.253.234:14236 -> 60.250.3.135:80
07/30/2025-15:02:49.993944  [**] [1:2400045:4432] ET DROP Spamhaus DROP Listed Traffic Inbound group 46 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 196.251.71.230:40562 -> 192.168.253.252:443
07/30/2025-15:03:00.230531  [**] [1:2012647:7] ET INFO Dropbox.com Offsite File Backup in Use [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 162.125.80.13:443 -> 192.168.10.46:54035
07/30/2025-15:03:17.158912  [**] [1:2260000:1] SURICATA Applayer Mismatch protocol both directions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 3.130.96.91:39368 -> 192.168.253.234:80
07/30/2025-15:03:28.808343  [**] [1:2062715:1] ET INFO Observed UA-CPU Header [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.82:9517 -> 203.69.81.57:80
07/30/2025-15:03:34.939989  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.84:60495 -> 203.69.81.58:80
07/30/2025-15:03:49.099774  [**] [1:2012647:7] ET INFO Dropbox.com Offsite File Backup in Use [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 162.125.80.18:443 -> 192.168.10.50:3996
07/30/2025-15:03:50.287506  [**] [1:2012647:7] ET INFO Dropbox.com Offsite File Backup in Use [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 162.125.6.20:443 -> 192.168.10.50:4000
07/30/2025-15:04:06.462063  [**] [1:2403302:102368] ET CINS Active Threat Intelligence Poor Reputation IP group 3 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 3.137.73.221:60514 -> 192.168.253.252:110
07/30/2025-15:04:06.950416  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 3.137.73.221:60514 -> 192.168.253.252:110
07/30/2025-15:05:03.003976  [**] [1:2400015:4432] ET DROP Spamhaus DROP Listed Traffic Inbound group 16 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 91.224.92.17:59955 -> 192.168.253.35:80
07/30/2025-15:06:18.314168  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 3.137.73.221:34160 -> 192.168.253.252:110
07/30/2025-15:07:19.113870  [**] [1:2260001:1] SURICATA Applayer Wrong direction first Data [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.253.252:110 -> 3.137.73.221:42326
07/30/2025-15:08:03.928577  [**] [1:2260001:1] SURICATA Applayer Wrong direction first Data [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.253.218:63824 -> 203.65.99.230:7660
07/30/2025-15:10:20.397434  [**] [1:2012647:7] ET INFO Dropbox.com Offsite File Backup in Use [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 162.125.6.20:443 -> 192.168.10.63:1086
07/30/2025-15:11:27.854677  [**] [1:2038967:1] ET INFO SSH-2.0-Go version string Observed in Network Traffic [**] [Classification: Misc activity] [Priority: 3] {TCP} 3.137.73.221:49736 -> 192.168.253.252:110
07/30/2025-15:11:28.048722  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.253.252:110 -> 3.137.73.221:49736
07/30/2025-15:13:24.956054  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 3.137.73.221:60018 -> 192.168.253.252:110
07/30/2025-15:13:28.272467  [**] [1:2032987:1] ET INFO HTTP Request to a *.tw domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.10.29:61521 -> 219.87.64.165:80
07/30/2025-15:13:28.741708  [**] [1:2032987:1] ET INFO HTTP Request to a *.tw domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.10.29:61522 -> 219.87.64.165:80
