07/30/2025-15:38:50.065223  [**] [1:2050281:1] ET INFO External IP Lookup Service in DNS Query (ip-info .ff .avast .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.253.213:65301 -> 210.69.1.1:53
07/30/2025-15:38:50.117511  [**] [1:2050282:1] ET INFO Observed External IP Lookup Domain (ip-info .ff .avast .com) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.61:50458 -> 34.111.175.102:443
07/30/2025-15:38:51.532865  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.99.252:59161 -> 203.69.81.58:80
07/30/2025-15:39:48.641019  [**] [1:2036220:6] ET INFO Android Device Connectivity Check [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.242:53040 -> 142.250.196.195:80
07/30/2025-15:39:48.645356  [**] [1:2049796:5] ET INFO Google DNS Over HTTPS Certificate Inbound [**] [Classification: Misc activity] [Priority: 3] {TCP} 8.8.4.4:853 -> 192.168.10.242:40364
07/30/2025-15:40:31.137975  [**] [1:2036220:6] ET INFO Android Device Connectivity Check [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.233:49408 -> 142.250.196.195:80
07/30/2025-15:40:43.682926  [**] [1:2400006:4432] ET DROP Spamhaus DROP Listed Traffic Inbound group 7 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 45.194.66.128:58447 -> 192.168.253.35:80
07/30/2025-15:40:51.094905  [**] [1:2014819:5] ET INFO Packed Executable Download [**] [Classification: Misc activity] [Priority: 3] {TCP} 203.74.95.232:80 -> 192.168.10.47:4586
07/30/2025-15:41:39.621972  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.173:11627 -> 203.69.81.58:80
07/30/2025-15:42:15.103653  [**] [1:2047702:1] ET INFO External IP Lookup Domain (ipify .org) in DNS Lookup [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.253.213:63498 -> 210.69.1.1:53
07/30/2025-15:42:15.408013  [**] [1:2047703:1] ET INFO External IP Address Lookup Domain (ipify .org) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 192.168.10.104:6642 -> 104.26.13.205:443
07/30/2025-15:42:15.103653  [**] [1:2047702:1] ET INFO External IP Lookup Domain (ipify .org) in DNS Lookup [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.253.213:64267 -> 210.69.1.1:53
07/30/2025-15:43:56.729681  [**] [1:2400034:4432] ET DROP Spamhaus DROP Listed Traffic Inbound group 35 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 176.65.148.207:42749 -> 192.168.253.35:80
07/30/2025-15:43:56.729681  [**] [1:2402000:7460] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 176.65.148.207:42749 -> 192.168.253.35:80
07/30/2025-15:45:46.877516  [**] [1:2402000:7460] ET DROP Dshield Block Listed Source group 1 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 206.168.34.166:64106 -> 192.168.253.252:110
07/30/2025-15:47:07.278350  [**] [1:2016149:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Request) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 74.125.247.128:3478
07/30/2025-15:47:07.289499  [**] [1:2016150:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Response) [**] [Classification: Misc activity] [Priority: 3] {UDP} 74.125.247.128:3478 -> 192.168.10.248:62471
