------------------------------------------------------------------------------------
Date: 8/13/2025 -- 10:06:58 (uptime: 0d, 00h 00m 10s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 930087
decoder.bytes                                 | Total                     | 1017217275
decoder.ipv4                                  | Total                     | 933996
decoder.ethernet                              | Total                     | 930087
decoder.tcp                                   | Total                     | 95998
tcp.syn                                       | Total                     | 786
tcp.synack                                    | Total                     | 678
tcp.rst                                       | Total                     | 194
decoder.udp                                   | Total                     | 830179
decoder.avg_pkt_size                          | Total                     | 1093
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 2105
flow.tcp                                      | Total                     | 1117
flow.udp                                      | Total                     | 988
flow.wrk.spare_sync_avg                       | Total                     | 99
flow.wrk.spare_sync                           | Total                     | 32
flow.wrk.spare_sync_incomplete                | Total                     | 3
defrag.ipv4.fragments                         | Total                     | 7819
defrag.ipv4.reassembled                       | Total                     | 3909
flow.wrk.flows_evicted_needs_work             | Total                     | 643
flow.wrk.flows_evicted_pkt_inject             | Total                     | 1093
flow.wrk.flows_evicted                        | Total                     | 17
flow.wrk.flows_injected                       | Total                     | 643
flow.wrk.flows_injected_max                   | Total                     | 1
tcp.sessions                                  | Total                     | 705
tcp.ssn_from_cache                            | Total                     | 75
tcp.ssn_from_pool                             | Total                     | 630
tcp.ack_unseen_data                           | Total                     | 117
tcp.segment_from_cache                        | Total                     | 17745
tcp.segment_from_pool                         | Total                     | 2084
tcp.stream_depth_reached                      | Total                     | 4
tcp.reassembly_gap                            | Total                     | 19
tcp.overlap                                   | Total                     | 23
detect.alert                                  | Total                     | 58
detect.alerts_suppressed                      | Total                     | 52
app_layer.flow.http                           | Total                     | 44
app_layer.tx.http                             | Total                     | 50
app_layer.flow.smtp                           | Total                     | 1
app_layer.tx.smtp                             | Total                     | 1
app_layer.error.smtp.parser                   | Total                     | 1
app_layer.flow.tls                            | Total                     | 586
app_layer.error.tls.gap                       | Total                     | 15
app_layer.flow.dns_tcp                        | Total                     | 27
app_layer.tx.dns_tcp                          | Total                     | 51
app_layer.flow.ntp                            | Total                     | 18
app_layer.tx.ntp                              | Total                     | 21
app_layer.flow.quic                           | Total                     | 134
app_layer.tx.quic                             | Total                     | 908
app_layer.flow.snmp                           | Total                     | 6
app_layer.tx.snmp                             | Total                     | 6
app_layer.flow.failed_tcp                     | Total                     | 8
app_layer.flow.dns_udp                        | Total                     | 750
app_layer.tx.dns_udp                          | Total                     | 1329
app_layer.flow.failed_udp                     | Total                     | 80
flow.end.state.new                            | Total                     | 736
flow.end.state.established                    | Total                     | 1123
flow.end.state.closed                         | Total                     | 246
flow.end.tcp_state.syn_sent                   | Total                     | 32
flow.end.tcp_state.syn_recv                   | Total                     | 4
flow.end.tcp_state.established                | Total                     | 317
flow.end.tcp_state.fin_wait2                  | Total                     | 98
flow.end.tcp_state.time_wait                  | Total                     | 1
flow.end.tcp_state.last_ack                   | Total                     | 13
flow.end.tcp_state.close_wait                 | Total                     | 8
flow.end.tcp_state.closed                     | Total                     | 232
flow.end.tcp_liberal                          | Total                     | 16
flow.mgr.full_hash_pass                       | Total                     | 8
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 9992
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 2736
flow.mgr.flows_notimeout                      | Total                     | 2271
flow.mgr.flows_timeout                        | Total                     | 465
flow.mgr.flows_evicted                        | Total                     | 465
flow.mgr.flows_evicted_needs_work             | Total                     | 77
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 14
flow.recycler.recycled                        | Total                     | 1460
flow.recycler.queue_max                       | Total                     | 525
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1835008
flow.memuse                                   | Total                     | 7573504
